132007,149.93,30,Historical,4497.900000000001,235567100.45999938,342631947.65999997,0.6875222875998621,B,12883,14647,11384,FF,FF,FF,FFFFFF,FF,B/FF,1
558396,53.95,42,Historical,2265.9,300198712.7599999,342631947.65999997,0.8761550544547954,C,12052,8732,14099,FF,F,FF,FFFFF,FF,C/FF,2
484073,120.95,30,Historical,3628.5,258642374.67999893,342631947.65999997,0.7548694056301327,B,12314,11138,8617,FF,F,F,FFFF,F,B/F,4
621151,76.0,43,Historical,3268.0,269043948.15999913,342631947.65999997,0.7852272679107449,B,10621,1250,14626,F,R,FF,FRFF,Seasonal,B/Seasonal,13
187869,99.95,18,Historical,1799.1000000000001,315046298.6299996,342631947.65999997,0.9194889757992616,C,7688,14808,13908,F,FF,FF,FFFFF,FF,C/FF,2
106523,26.95,16,Historical,431.2,342188795.949998,342631947.65999997,0.9987066246652466,C,2049,14568,13629,R,FF,FF,RFFFF,Seasonal,C/Seasonal,14
154427,26.88,36,Historical,967.68,336511122.9899977,342631947.65999997,0.9821358612009056,C,4656,13180,13146,M,FF,FF,MFFFF,F,C/F,5
290217,76.4,62,Historical,4736.8,229874089.43999937,342631947.65999997,0.6709067587244015,B,9670,2778,7567,F,R,F,FRF,Seasonal,B/Seasonal,13
115856,86.8,38,Historical,3298.4,268183645.50999942,342631947.65999997,0.7827164026634289,B,4381,14836,14376,M,FF,FF,MFFFF,F,B/F,4
876070,125.75,30,Historical,3772.5,254657708.62999886,342631947.65999997,0.7432398244506389,B,5811,4456,119,M,M,R,MMR,Seasonal,B/Seasonal,13
53289,269.95,81,Historical,21865.95,56490518.73999988,342631947.65999997,0.16487230430729266,A,9836,7757,10573,F,F,F,FFF,F,A/F,3
550444,13.98,56,Historical,782.88,339437935.5999972,342631947.65999997,0.9906780086275778,C,1997,14905,3027,R,FF,R,RFFR,R,C/R,11
1884834,92.5,62,Historical,5735.0,207077553.33999887,342631947.65999997,0.6043731612134597,B,10171,12226,4673,F,FF,M,FFFM,F,B/F,4
576684,160.95,52,Historical,8369.4,161981864.9499992,342631947.65999997,0.47275762244662844,A,14090,12678,221,FF,FF,R,FFFFR,Seasonal,A/Seasonal,12
259367,56.0,26,Historical,1456.0,324884465.2499991,342631947.65999997,0.9482024880306491,C,9452,8124,13531,F,F,FF,FFFF,F,C/F,5
806993,181.95,25,Historical,4548.75,234355701.4599992,342631947.65999997,0.6839867182862782,B,1537,6347,3718,R,M,R,RMR,R,B/R,10
789672,86.99,17,Historical,1478.83,324417736.40999967,342631947.65999997,0.9468403008697992,C,6369,5212,4610,M,M,M,MMM,M,C/M,8
1981513,41.95,10,Historical,419.5,342223640.769998,342631947.65999997,0.9988083221871443,C,10903,1311,3319,F,R,R,FRR,R,C/R,11
924262,59.99,54,Historical,3239.46,269948027.1699995,342631947.65999997,0.7878658981265633,B,7297,4379,5093,M,M,M,MMM,M,B/M,7
162629,40.0,35,Historical,1400.0,326465991.4299972,342631947.65999997,0.9528183044797547,C,9091,3934,14245,F,M,FF,FMFF,F,C/F,5
527270,49.99,41,Historical,2049.59,307162724.9899996,342631947.65999997,0.8964801066793773,C,9150,10704,14747,F,F,FF,FFFF,F,C/F,5
